IDREGISTRO;TIPO;DATA;PESSOA/EMPRESA;PLANODECONTAS;VALOR  
543;Saida;27/02/2023;Amanda Cameron;94;1907.07
544;Entrada;27/02/2023;Orlando Carroll;156;336.14
545;Entrada;27/02/2023;Marcia Benson;41;3847.69
546;Saida;27/02/2023;Aristotle Blackwell;136;340.41
547;Entrada;27/02/2023;Hakeem Trujillo;71;890.25
548;Saida;27/02/2023;Hannah Rowe;94;3234
549;Entrada;27/02/2023;Sandra Robinson;139;4684
550;Entrada;27/02/2023;Scarlett Mckee;36;51.68
551;Entrada;27/02/2023;Adena Rivers;137;3586.88
552;Entrada;27/02/2023;Noah Garner;96;4836.37
553;Entrada;27/02/2023;Reed Boone;20;2793.79
554;Entrada;27/02/2023;Keith Guzman;176;2837.26
555;Entrada;27/02/2023;Jolie Cote;62;2133.22
556;Entrada;27/02/2023;Holly Briggs;68;4816.29
557;Entrada;27/02/2023;Levi Macias;107;2461.29
558;Entrada;27/02/2023;Lance Chaney;164;437.36
559;Entrada;27/02/2023;Kenneth Leach;4;1888.49
560;Saida;27/02/2023;Faith Lowery;153;4658.64
561;Entrada;27/02/2023;Derek Nelson;96;3845.03
562;Saida;27/02/2023;Phyllis Chambers;142;2015.73
563;Saida;27/02/2023;George Mccormick;113;2143.01
564;Entrada;27/02/2023;Shafira Burt;114;3006.86
565;Saida;27/03/2023;Chandler O'brien;52;1786.2
566;Entrada;27/03/2023;Heather Peters;162;2934.09
567;Entrada;27/03/2023;Slade Mills;128;2422.02
568;Saida;27/03/2023;Blythe Downs;60;448.24
569;Entrada;27/03/2023;Nicole Nielsen;44;593.99
570;Saida;27/03/2023;Tatum Bruce;88;1745.09
571;Entrada;27/03/2023;Marah Faulkner;139;3368.82
572;Entrada;27/03/2023;Hakeem Maddox;170;4811.17
573;Saida;27/03/2023;Brandon Stevenson;179;3717.21
574;Entrada;27/03/2023;Chloe Abbott;95;1730.19
575;Entrada;27/03/2023;Shad Chen;32;2295.8
576;Entrada;27/03/2023;Gloria Barron;65;1127.7
577;Entrada;27/03/2023;Tad Owens;58;907.68
578;Entrada;27/03/2023;Ulric Graham;57;1822.5
579;Saida;27/03/2023;Jorden Berry;62;753.92
580;Saida;27/03/2023;Owen Osborne;133;4167.62
581;Saida;27/03/2023;Alexander Chavez;48;3406.56
582;Saida;27/03/2023;Thane Koch;21;1046.07
583;Entrada;27/03/2023;Macon Carr;91;2226.62
584;Saida;27/03/2023;Cassandra Pace;80;319.25
585;Saida;27/03/2023;Alyssa Chan;46;3599.04
586;Saida;27/03/2023;Desiree Gonzales;160;154.03
587;Entrada;27/03/2023;Imogene Estrada;67;3406.7
588;Entrada;27/03/2023;Daquan Walter;116;2173.55
589;Entrada;27/03/2023;Emily Decker;153;3.69
590;Saida;27/03/2023;Nerea Snow;28;4745.31
591;Saida;27/03/2023;Gwendolyn O'brien;175;3954.25
592;Saida;27/03/2023;Candace Mcdonald;19;619.37
593;Entrada;27/03/2023;Alec Clemons;79;1967.87
594;Entrada;27/03/2023;Naomi Silva;186;2273.11
595;Entrada;27/03/2023;Seth Carey;64;203.88
596;Saida;27/03/2023;Delilah Deleon;16;4483.44
597;Entrada;27/03/2023;Orla Foster;79;1740.09
598;Entrada;27/03/2023;Dante Pate;139;4591.85
599;Entrada;27/03/2023;Adria Spencer;91;1759.96
600;Saida;27/03/2023;Tad Mcguire;87;846.06
601;Saida;27/03/2023;Meghan Frazier;24;3812.73
602;Saida;27/03/2023;Tanner Ball;10;243.67
603;Saida;27/03/2023;Laura Crane;31;4533.8
604;Saida;27/03/2023;Irene Wooten;123;971.62
605;Entrada;27/03/2023;Wyatt Tucker;58;38.62
606;Saida;27/03/2023;Dante Levy;176;1851.33
607;Saida;27/03/2023;Denise Peterson;35;933.95
608;Entrada;27/03/2023;Patricia Holloway;157;510.07
609;Entrada;27/03/2023;Caesar Hart;73;869.95
610;Entrada;27/03/2023;Ashely Ball;57;1390.46
611;Saida;27/03/2023;Deirdre Reese;57;2806.04
612;Saida;27/03/2023;Ramona Albert;38;2134.93
613;Entrada;27/03/2023;Jaden Hartman;138;3342.88
614;Saida;27/03/2023;Ifeoma Tyson;181;4288.55
615;Saida;27/03/2023;Beatrice Whitley;26;4217.7
616;Entrada;27/03/2023;Andrew Pittman;65;120.32
617;Saida;27/03/2023;Roth Mcintyre;31;3847.15
618;Entrada;27/03/2023;Deborah Tate;54;3389.22
619;Saida;27/03/2023;Charde Aguilar;124;320.51
620;Entrada;27/03/2023;Yoko Key;183;4400.46
621;Saida;27/03/2023;Walter Burke;178;2635.34
622;Entrada;27/03/2023;Plato Poole;179;3233.44
623;Saida;27/03/2023;Justin Bernard;41;217.23
624;Saida;27/03/2023;Olivia Lara;11;231.38
625;Saida;27/03/2023;Lavinia Valdez;36;2419.73
626;Entrada;27/03/2023;Maile Goodman;18;1874.38
627;Entrada;27/03/2023;Isabelle Gay;163;2175.11
628;Saida;27/03/2023;Rudyard Mcdowell;80;69.48
629;Entrada;27/03/2023;Doris Dotson;122;3306.01
630;Entrada;27/03/2023;Calvin Guzman;184;4280.34
631;Entrada;27/03/2023;Portia Howell;40;1924.52
632;Saida;27/03/2023;Hadassah Wagner;53;707.44
633;Entrada;27/03/2023;Deacon Collier;161;1110.04
634;Entrada;27/03/2023;Eaton Langley;140;1723.49
635;Saida;27/03/2023;Oliver Beard;142;2372.5
636;Entrada;27/03/2023;Kyra Berg;15;1850.73
637;Entrada;27/03/2023;Kylynn Montgomery;60;2652.92
638;Saida;27/03/2023;Kennedy Santos;180;3823.94
639;Entrada;27/03/2023;Ifeoma Beasley;103;2938.77
640;Entrada;27/03/2023;Eric Ruiz;110;3060.29
641;Saida;27/03/2023;MacKensie Acosta;134;275.22
642;Saida;27/03/2023;Axel Salinas;147;3697.52
643;Entrada;27/03/2023;Candice Calhoun;24;3743.41
644;Entrada;27/03/2023;Shad Wise;48;1913.82
645;Saida;27/03/2023;Althea Pearson;153;3392.72
646;Entrada;27/03/2023;Wallace Mcclain;64;939.28
647;Saida;27/03/2023;Kennan Lamb;143;58.09
648;Saida;27/03/2023;Kareem Compton;59;544.65
649;Saida;27/03/2023;Rebecca Jenkins;110;3477.48
650;Entrada;27/03/2023;Mohammad Beard;76;4261.18
651;Saida;27/03/2023;Melinda Stewart;113;333.95
652;Entrada;27/03/2023;Devin Moon;118;956.69
653;Saida;27/03/2023;Jayme Murphy;37;257.34
654;Entrada;27/03/2023;Dolan Woodward;26;2026.99
655;Saida;27/04/2023;Risa Brennan;46;4655.87
656;Saida;27/04/2023;Caldwell Leblanc;125;4564.74
657;Entrada;27/04/2023;William Singleton;51;1143.48
658;Saida;27/04/2023;Martha Robbins;121;3282.17
659;Saida;27/04/2023;Xanthus Goodman;75;3360.17
660;Entrada;27/04/2023;Lana Allen;125;1361.15
661;Saida;27/04/2023;Felix Rodriguez;112;194.46
662;Saida;27/04/2023;Ainsley Bartlett;123;3686.06
663;Entrada;27/04/2023;Shelly Murray;186;595.29
664;Entrada;27/04/2023;Teagan Lynch;26;4298.55
665;Saida;27/04/2023;Darryl Hayden;177;4217.2
666;Saida;27/04/2023;Kim Garrett;127;4975.04
667;Saida;27/04/2023;Quin Chandler;129;411.9
668;Entrada;27/04/2023;Lee Black;125;4557.04
669;Saida;27/04/2023;Josiah Carey;123;4747.05
670;Entrada;27/04/2023;Blythe Orr;42;584.99
671;Saida;27/04/2023;Griffin Snider;152;4485.29
672;Entrada;27/04/2023;Nehru Norton;126;438.56
673;Saida;27/04/2023;Dominic Battle;36;1118.09
674;Saida;27/04/2023;Hiram Pratt;54;1323.94
675;Entrada;27/04/2023;Barry Clements;105;4844.29
676;Entrada;27/04/2023;Holmes Beach;73;4926.81
677;Saida;27/04/2023;Channing Greene;1;4778.19
678;Entrada;27/04/2023;Xavier Whitfield;70;4523.9
679;Saida;27/04/2023;Darrel Mcmahon;28;3362.9
680;Entrada;27/04/2023;Maile Zimmerman;63;2971.94
681;Entrada;27/04/2023;Drake Buchanan;173;682.78
682;Saida;27/04/2023;Kyle Fletcher;146;3074.93
683;Saida;27/04/2023;Tanisha Lamb;71;943.54
684;Entrada;27/04/2023;Brian Hood;174;4772.56
685;Entrada;27/04/2023;Shana Dunlap;137;1328.53
686;Saida;27/04/2023;Hillary Rivera;104;2916.4
687;Saida;27/04/2023;Rana Spencer;137;1173.8
688;Entrada;27/04/2023;Aaron Cohen;107;3116.71
689;Saida;27/04/2023;Troy Pierce;24;2841.5
690;Saida;27/04/2023;Jarrod Travis;119;3790.19
691;Saida;27/04/2023;Jerry Meadows;171;4742.61
692;Saida;27/04/2023;Meredith Noel;171;3527.44
693;Saida;27/04/2023;Whoopi Bernard;156;3327.27
694;Saida;27/04/2023;Scarlet Carver;18;223.84
695;Entrada;27/04/2023;Shana Moody;26;4003.07
696;Saida;27/04/2023;Alice Farrell;38;275.72
697;Entrada;27/04/2023;Carson Adams;176;4675.07
698;Entrada;27/04/2023;Stuart Schneider;170;4358.74
699;Entrada;27/04/2023;Kay Merrill;155;2300.7
700;Entrada;28/04/2023;Kirsten Avery;110;3159.65
701;Saida;28/04/2023;Murphy Humphrey;160;2737.21
702;Saida;28/04/2023;Quamar Ramos;124;2034.13
703;Saida;28/04/2023;Dieter Collins;73;4214.48
704;Saida;28/04/2023;Martena Price;74;937
705;Saida;28/04/2023;Hanna Finch;17;1893.41
706;Entrada;28/04/2023;Joshua Malone;189;3611.86
707;Saida;28/04/2023;Myra Delaney;50;2325.08
708;Saida;28/04/2023;Kibo Wheeler;102;4112.34
709;Saida;28/04/2023;Alea Olson;39;4418.55
710;Entrada;28/04/2023;Austin Mcfarland;172;415.42
711;Entrada;28/04/2023;Darryl Durham;140;4130.41
712;Saida;28/04/2023;Shellie Landry;104;4054.9
713;Saida;28/04/2023;Kenneth Harris;125;4465.32
714;Entrada;28/04/2023;Ciara Hall;149;1099.61
715;Saida;28/04/2023;Ross Dodson;77;2859.76
716;Saida;28/04/2023;Ryan Rice;125;4865.51
717;Saida;28/04/2023;Ursa Mccarty;67;4710.11
718;Entrada;28/04/2023;Aquila Wise;9;1681.55
719;Saida;28/04/2023;Brody Roach;53;139.24
720;Saida;28/04/2023;Ina Slater;10;892.68
721;Saida;28/04/2023;Ulla Huffman;4;4200.61
722;Entrada;28/04/2023;Kennan Benton;17;3126.19
723;Entrada;28/04/2023;Kelsey Whitney;187;372.91
724;Saida;28/04/2023;Wing Walter;90;2051.46
725;Saida;28/04/2023;George Mckinney;25;1835.65
726;Saida;28/04/2023;Latifah Quinn;66;2901.87
727;Entrada;28/04/2023;Brynne Mooney;46;4372.27
728;Entrada;28/04/2023;Damian Holcomb;86;3654.73
729;Entrada;28/04/2023;Tanner Bradley;98;3105.35
730;Saida;28/04/2023;Kibo Henderson;11;4188.01
731;Entrada;28/04/2023;Wallace Stewart;144;2555.71
732;Saida;28/04/2023;Melissa Powell;123;950.95
733;Entrada;28/05/2023;Madonna Shaffer;100;2562.25
734;Saida;28/05/2023;Kadeem Wilkinson;27;137.39
735;Entrada;28/05/2023;Knox Phillips;142;2913.8
736;Saida;28/05/2023;Carl Oneal;189;1840.76
737;Entrada;28/05/2023;Justin Page;166;1037.6
738;Saida;28/05/2023;Herman Parker;57;2910.38
739;Entrada;28/05/2023;Bo Ingram;49;942
740;Saida;28/05/2023;Natalie Michael;58;2246.45
741;Entrada;28/05/2023;Keegan Humphrey;19;2852.34
742;Entrada;28/05/2023;Medge Weeks;69;2330.8
743;Saida;28/05/2023;Victor Clay;115;3659.78
744;Entrada;28/05/2023;Jin Floyd;52;3219.88
745;Saida;28/05/2023;Wynne Moreno;123;3627.11
746;Saida;28/05/2023;Hiram Sweet;113;1962.97
747;Entrada;28/05/2023;Raya Reynolds;149;3018.23
748;Saida;28/05/2023;Kaseem Charles;189;1650.66
749;Saida;28/05/2023;Macy Maddox;81;548.7
750;Saida;28/05/2023;Kamal Underwood;17;4175.89
751;Saida;28/05/2023;Iona Downs;53;3985.93
752;Saida;28/05/2023;Xander Beasley;125;4606.17
753;Entrada;28/05/2023;Chandler Young;187;2943.79
754;Saida;28/05/2023;Elijah Donaldson;40;435.82
755;Saida;28/05/2023;Wang Tucker;122;2125.38
756;Entrada;28/05/2023;Keely Garrison;163;1861.91
757;Entrada;28/05/2023;Zena Fitzpatrick;191;2174.46
758;Saida;28/05/2023;Nathaniel Barnett;12;624.75
759;Entrada;28/05/2023;Todd Dunn;153;3206.56
760;Entrada;28/05/2023;Grace Webb;133;4384.43
761;Saida;28/05/2023;Claire Cameron;171;641.6
762;Saida;28/05/2023;Winifred Page;86;693.75
763;Entrada;28/05/2023;Ora Hogan;163;4838.55
764;Entrada;28/05/2023;Ignacia Valenzuela;141;2597
765;Saida;28/05/2023;Ryder Long;134;2778.13
766;Entrada;28/05/2023;Mary Peterson;140;826.38
767;Entrada;28/05/2023;Gretchen Cross;92;1095.21
768;Saida;28/05/2023;Jerry Baker;140;4500.59
769;Saida;28/05/2023;Devin Hoffman;181;3002.49
770;Entrada;28/05/2023;Britanni Meadows;115;3224.42
771;Saida;28/05/2023;Barbara Contreras;154;1806.71
772;Entrada;28/05/2023;Nathan Hoffman;140;3281.64
773;Entrada;28/05/2023;Herman Johns;147;3290.49
774;Saida;28/05/2023;Fletcher Brady;28;3931.1
775;Saida;28/05/2023;McKenzie Blanchard;138;3111.92
776;Saida;28/05/2023;Catherine Houston;164;4455.62
777;Saida;28/05/2023;Sebastian Ashley;57;1103.19
778;Entrada;28/05/2023;Scarlet Donaldson;42;3506.62
779;Saida;28/05/2023;Brett Rich;167;2713.87
780;Saida;28/05/2023;Ralph Avery;27;1228.33
781;Entrada;28/05/2023;Yoshi Sexton;95;3344.04
782;Saida;28/05/2023;Kiona Saunders;74;367.79
783;Saida;28/05/2023;Scott Crane;191;1602.39
784;Entrada;28/05/2023;Hanae Sargent;140;2821.15
785;Entrada;28/05/2023;Graiden Hunt;61;2118.07
786;Saida;28/05/2023;Amela Meadows;142;4483.69
787;Entrada;28/05/2023;Alden Hughes;24;2195.9
788;Saida;28/05/2023;Bryar Gentry;142;2166.54
789;Entrada;28/05/2023;Jana Hicks;46;3505.34
790;Saida;28/05/2023;Simone Dale;14;2553.88
791;Entrada;28/05/2023;Renee Oneal;115;37.35
792;Saida;28/05/2023;Velma Huff;31;1780.02
793;Entrada;28/05/2023;James Hunter;189;1986.59
794;Saida;28/05/2023;Scarlett Vasquez;56;1617.56
795;Saida;28/05/2023;Rae Nixon;68;3080.12
796;Entrada;28/05/2023;Hiroko Potts;169;957.94
797;Saida;28/05/2023;Inga Finley;165;2872.77
798;Saida;28/05/2023;Vladimir Thornton;10;2751.63
799;Entrada;28/05/2023;Aquila Newman;137;2212.08
800;Saida;28/05/2023;Michael Owen;19;3129.76
801;Entrada;28/05/2023;Aphrodite Yates;42;5.06
802;Entrada;28/05/2023;Lyle Santana;81;1563.21
803;Entrada;28/05/2023;Nathan Caldwell;187;4302.09
804;Saida;28/05/2023;Quinn Spencer;172;4709.16
805;Entrada;28/05/2023;Cole Hooper;41;3154.5
806;Saida;28/05/2023;Gannon Alexander;7;95.06
807;Saida;28/05/2023;Tanisha Mcgowan;177;359.44
808;Saida;28/05/2023;Mara Rocha;141;3761.81
809;Entrada;28/05/2023;Tarik Patton;65;4168.42
810;Entrada;28/05/2023;Garrett Navarro;73;2275.73
811;Saida;28/05/2023;Conan Lucas;174;341
812;Entrada;28/05/2023;Shaine Payne;99;3338.65
813;Entrada;28/05/2023;Axel Santos;151;2806.24
814;Saida;28/05/2023;Rinah Barton;35;4005.3
815;Saida;28/05/2023;Maggy Benjamin;125;434.36
816;Saida;28/05/2023;Lysandra Brooks;135;3071.09
817;Saida;28/05/2023;Tate Henderson;50;3767.78
818;Saida;28/05/2023;Cathleen Jennings;58;2229.48
819;Entrada;28/05/2023;Nola Spence;175;785.64
820;Entrada;28/05/2023;Teegan Burris;20;3246.58
821;Entrada;28/05/2023;Amy Mayo;99;689.79
822;Entrada;28/05/2023;Josiah Payne;164;2957.59
823;Saida;28/05/2023;Evelyn Simon;72;582.4
824;Saida;28/05/2023;Veda Campos;180;2627.65
825;Entrada;28/05/2023;Upton Case;18;14.62
826;Saida;28/05/2023;Levi Stephenson;94;2081.12
827;Saida;28/05/2023;Dante Rosario;25;4050.9
828;Saida;28/05/2023;Sigourney Duke;24;1802.54
829;Saida;28/05/2023;Bruce Greer;49;1666.12
830;Entrada;28/05/2023;Samantha Blair;42;2939.49
831;Entrada;28/06/2023;Jana Duran;106;3531.85
832;Entrada;28/06/2023;Sade Kirkland;117;4645.79
833;Saida;28/06/2023;Darius Forbes;53;3724.26
834;Saida;28/06/2023;MacKenzie Mullins;140;2179.91
835;Saida;28/06/2023;Mohammad Schneider;172;3533.15
836;Saida;28/06/2023;Hyatt Anthony;108;417.13
837;Saida;28/06/2023;Wade Moon;61;1293.41
838;Saida;28/06/2023;Joelle Paul;152;4640.87
839;Saida;28/06/2023;Bianca Hayden;31;3824.75
840;Entrada;28/06/2023;Alfonso Mccarthy;153;4135.84
841;Saida;28/06/2023;Selma Sandoval;71;4567.36
842;Saida;28/06/2023;Brenda Aguilar;191;980.56
843;Saida;28/06/2023;Cruz Wyatt;178;3399.2
844;Saida;28/06/2023;Bruno Gonzales;130;1368.36
845;Entrada;28/06/2023;Cassandra Castaneda;92;2360.42
846;Entrada;28/06/2023;Troy Fry;151;3620.71
847;Entrada;28/06/2023;Kennan Vaughn;20;3647.16
848;Entrada;28/06/2023;Raja Adams;145;2470.13
849;Saida;28/06/2023;Pearl Oliver;178;1179.45
850;Saida;28/06/2023;Kelly Barrera;45;868.77
851;Entrada;28/06/2023;Hilda Leach;140;1602.82
852;Entrada;28/06/2023;Erich Massey;121;2699.34
853;Entrada;28/06/2023;Maya Maynard;180;4287.19
854;Entrada;28/06/2023;Oliver Bray;116;4708.71
855;Entrada;28/06/2023;Sara Dotson;184;1517.11
856;Saida;28/06/2023;Julie Valenzuela;56;2806.06
857;Saida;28/06/2023;Remedios Irwin;162;112.52
858;Saida;28/06/2023;Fuller Walsh;63;4029.82
859;Saida;28/06/2023;Drew Stuart;66;4670.86
860;Saida;28/06/2023;Briar Bradshaw;15;819.33
861;Entrada;28/06/2023;Olivia Tanner;142;4405.85
862;Entrada;28/06/2023;Dustin Powell;151;2388.19
863;Saida;28/06/2023;Oleg Sims;177;4002.22
864;Entrada;28/06/2023;Leandra Buckner;190;2318.77
865;Entrada;28/06/2023;Ina Duncan;166;2126.07
866;Entrada;28/06/2023;Judah Cortez;154;2772.45
867;Saida;28/06/2023;Ronan Oliver;25;4625.31
868;Entrada;28/06/2023;Selma Acevedo;185;355.79
869;Saida;28/06/2023;Shad Mccormick;152;3938.75
870;Saida;28/06/2023;Lillian Elliott;39;587.79
871;Entrada;28/06/2023;Libby Walsh;6;1381.82
872;Entrada;28/06/2023;Brandon Mcleod;78;1282.69
873;Saida;28/06/2023;Hannah Roy;61;3493.14
874;Saida;28/06/2023;Yoshio Ramos;62;1408.96
875;Saida;28/06/2023;Avye Yang;19;2442.46
876;Entrada;28/06/2023;Flynn Burris;175;3512.53
877;Saida;28/06/2023;Vanna Nicholson;149;4554.54
878;Entrada;28/06/2023;Theodore Gill;81;184.03
879;Saida;29/06/2023;Solomon Jennings;115;2508.05
880;Entrada;29/06/2023;Raja Vasquez;128;1628.43
881;Entrada;29/06/2023;Leonard Skinner;71;4980.92
882;Saida;29/06/2023;Alika Collins;4;2650.03
883;Saida;29/06/2023;Emma Bass;156;342.93
884;Entrada;29/07/2023;Medge Williams;89;3255.93
885;Saida;29/07/2023;Jeremy Mack;124;2163.48
886;Saida;29/07/2023;Athena Allison;39;3399.66
887;Saida;29/07/2023;Ian Salinas;79;2552.05
888;Entrada;29/07/2023;Autumn Riddle;179;1517.25
889;Entrada;29/07/2023;Lionel Finch;22;2880.38
890;Entrada;29/07/2023;Quynn Kirby;38;1599.55
891;Saida;29/07/2023;Arden Hodge;158;4186.63
892;Saida;29/07/2023;Keelie Sheppard;134;4568.82
893;Saida;29/07/2023;Hayden Kerr;152;4725.98
894;Entrada;29/07/2023;Jael Kelley;16;1089.08
895;Saida;29/07/2023;Nasim Sloan;27;4539.97
896;Saida;29/07/2023;Shea Leach;144;417.71
897;Saida;29/07/2023;Odette Harrell;119;4910.44
898;Entrada;29/07/2023;Alea Vasquez;181;2349.48
899;Entrada;29/07/2023;Wyatt Johns;85;548.25
900;Entrada;29/07/2023;Charissa Walters;107;3570.16
901;Saida;29/07/2023;Zeph Wolf;190;321
902;Saida;29/07/2023;Lucius Lancaster;29;2446.36
903;Entrada;29/07/2023;Neve Alexander;50;4277.76
904;Saida;29/07/2023;Dylan Welch;61;1461.48
905;Saida;29/07/2023;Kevyn Jenkins;149;2578.16
906;Saida;29/07/2023;Magee Simmons;28;2589.24
907;Entrada;29/07/2023;Baker Christian;119;4293.06
908;Entrada;29/07/2023;Channing Whitehead;155;32.3
909;Saida;29/07/2023;Britanni Gilmore;4;2248.68
910;Saida;29/07/2023;Ciaran Armstrong;134;2821.48
911;Entrada;29/07/2023;Cathleen Santos;63;2221.96
912;Saida;29/07/2023;Kelsie Calderon;28;1076.42
913;Saida;29/07/2023;Naomi Butler;1;4737.83
914;Saida;29/07/2023;Lydia Hanson;165;394.33
915;Entrada;29/07/2023;Laith Michael;76;1157.16
916;Saida;29/07/2023;Kelly Bolton;97;2996.86
917;Entrada;29/07/2023;Petra Rocha;120;2811.65
918;Entrada;29/07/2023;MacKenzie Huffman;116;4521.86
919;Saida;29/07/2023;Quin Byrd;32;3213.38
920;Entrada;29/07/2023;Carson Eaton;48;3976.6
921;Entrada;29/07/2023;Caryn Richmond;60;454
922;Entrada;29/07/2023;Ryan Spencer;28;4114.44
923;Saida;29/07/2023;Channing Rivers;99;3788.97
924;Saida;29/07/2023;Tanner Horton;39;1194.95
925;Saida;29/07/2023;Harlan Guy;99;3876.07
926;Saida;29/07/2023;Isaiah Wiggins;65;286.31
927;Entrada;29/07/2023;Hope Franco;136;2059.49
928;Entrada;29/07/2023;Kamal Day;150;1813.51
929;Saida;29/07/2023;Ori Wooten;15;2943.66
930;Saida;29/07/2023;Zephania Avila;175;4250.19
931;Saida;29/07/2023;Cedric Ayers;148;988.49
932;Saida;29/07/2023;Ira Britt;121;2235.75
933;Saida;29/07/2023;Hasad Kim;89;2062.95
934;Entrada;29/07/2023;Hayley Dunn;94;290.31
935;Entrada;29/07/2023;Lars Lowe;139;658.55
936;Saida;29/07/2023;Iola Baxter;154;771.52
937;Entrada;29/07/2023;Kylan Mcgee;190;2676.09
938;Entrada;29/07/2023;Olga Soto;15;3222.63
939;Saida;29/07/2023;Chandler Clemons;169;2643.49
940;Saida;29/07/2023;Gareth Mcneil;145;824.89
941;Saida;29/07/2023;Carson Chaney;88;1477.61
942;Entrada;29/07/2023;Patricia Preston;145;2921.92
943;Entrada;29/07/2023;Forrest Lancaster;171;913.62
944;Saida;29/07/2023;Charles Chaney;52;2372.75
945;Saida;29/07/2023;Kyla Farley;54;126.19
946;Saida;29/07/2023;Jenette Collier;87;90.72
947;Entrada;29/08/2023;Driscoll Ellis;46;4149.32
948;Entrada;29/08/2023;Emerson Fleming;11;3676.54
949;Entrada;29/08/2023;Leonard Daniel;85;3472.18
950;Saida;29/08/2023;Hedy Francis;85;3145.82
951;Saida;29/08/2023;Eugenia Lane;29;2185.4
952;Entrada;29/08/2023;George Paul;93;676.37
953;Entrada;29/08/2023;Neville Mcpherson;79;1788.2
954;Entrada;29/08/2023;Amethyst Weeks;85;4336.4
955;Entrada;29/08/2023;Gemma Nunez;143;1787.79
956;Entrada;29/08/2023;Sawyer Mcintyre;91;4849.23
957;Saida;29/08/2023;Melyssa Townsend;153;4990.83
958;Saida;29/08/2023;Jaime Small;187;3777.44
959;Saida;29/08/2023;Cara Knox;144;355.55
960;Saida;29/08/2023;Ciaran Wade;62;144.07
961;Saida;29/08/2023;Raja Dunn;44;3071.19
962;Entrada;29/08/2023;Minerva Frost;166;1517.92
963;Entrada;29/08/2023;Deborah Boyle;30;4055.03
964;Saida;29/08/2023;Cain Pacheco;145;1920.84
965;Entrada;29/08/2023;August Cline;187;634.21
966;Saida;29/08/2023;Nissim Nixon;141;4094.91
967;Entrada;29/08/2023;Nash Snow;153;2723.14
968;Saida;29/08/2023;Ria Sparks;92;2838.98
969;Saida;29/08/2023;Myra Gates;172;1304.15
970;Saida;29/08/2023;Griffin Schwartz;109;2157.12
971;Entrada;29/08/2023;Marshall Pope;35;1133.46
972;Saida;29/08/2023;Reagan Logan;91;1461.68
973;Saida;29/08/2023;Lucas Byrd;63;3960.77
974;Entrada;29/08/2023;Martina Powers;42;3113.9
975;Entrada;29/08/2023;Brynne Mcfarland;124;4051.38
976;Entrada;29/08/2023;Jolie Salas;83;834.25
977;Saida;29/08/2023;Carter Sykes;190;3010.01
978;Saida;29/08/2023;Ina Carey;172;666.09
979;Entrada;29/08/2023;Hall Mercer;133;2581.94
980;Entrada;29/09/2023;Ralph Cooley;66;2860.15
981;Entrada;29/09/2023;Keaton Pickett;60;4077.54
982;Saida;29/09/2023;Andrew Mitchell;12;4230.26
983;Saida;29/09/2023;Maryam Mosley;52;837.2
